Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,IPA_Morphology_R,IPA_Production_R,IPA_UR,IPA_SR
kulk-ke,굵게,굴께,kul.ge,lk-k,lg,1,0,,,1,lC+Obstruen,kulk-ke,kul.k*e,lk-k,lk*
kulk-ke,굵게,굴께,kul.ge,lk-k,lg,1,0,,,1,lC+Obstruen,kulk-ke,kul.k*e,lk-k,lk*
kulk-ke,굵게,굴께,kul.ge,lk-k,lg,1,0,,,1,lC+Obstruen,kulk-ke,kul.k*e,lk-k,lk*
kulk-kelako,굵게라고,굴께라고,kul.ge.la.ko,lk-k,lg,1,0,,,1,lC+Obstruen,kulk-kelako,kul.k*e.la.ko,lk-k,lk*
kulk-ko,굵고,굴꼬,kul.go,lk-k,lg,1,0,,,1,lC+Obstruen,kulk-ko,kul.k*o,lk-k,lk*
kulk-cikhako,굵직하고,굴찍하고,kul.Jik.ha.ko,lk-c,lJ,1,0,,,1,lC+Obstruen,kulk-cikhako,kul.c*ik.ha.ko,lk-c,lc*
kulm-konxn,굶고는,굶꼬는,kulm.go.nxn,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-konɨn,kulm.k*o.nɨn,lm-k,mk*
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-ko,kum.k*o,lm-k,mk*
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-ko,kum.k*o,lm-k,mk*
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-ko,kum.k*o,lm-k,mk*
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-ko,kum.k*o,lm-k,mk*
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-ko,kum.k*o,lm-k,mk*
kulm-ko,굶고,굼꾸,kum.gu,lm-k,mg,0,1,,,1,lC+Obstruen,kulm-ko,kum.k*u,lm-k,mk*
kulm-txnka,굶든가,굼던가,kum.tvn.ka,lm-t,mt,0,1,,,0,lC+Obstruen,kulm-tɨnka,kum.tʌn.ka,lm-t,mt
kxlk-ko,긁고,극꼬,kxk.go,lk-k,kg,0,1,,,1,lC+Obstruen,kɨlk-ko,kɨk.k*o,lk-k,kk*
kxlk-kvna,긁거나,글꺼나,kxl.gv.na,lk-k,lg,1,0,,,1,lC+Obstruen,kɨlk-kʌna,kɨl.k*ʌ.na,lk-k,lk*
kxlk-ko,긁고,글꼬,kxl.go,lk-k,lg,1,0,,,1,lC+Obstruen,kɨlk-ko,kɨl.k*o,lk-k,lk*
kxlk-kil,긁길,글킬,kxl.Kil,lk-k,lK,1,0,,,0,lC+Obstruen,kɨlk-kil,kɨl.kʰil,lk-k,lkʰ
kxlk-ko,긁고,끌꼬,gxl.go,lk-k,lg,1,0,,,1,lC+Obstruen,kɨlk-ko,k*ɨl.k*o,lk-k,lk*
nvlp-ko,넓고,널고,nvl.ko,lp-k,lk,1,0,,,0,lC+Obstruen,nʌlp-ko,nʌl.ko,lp-k,lk
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ke,nʌl.k*e,lp-k,lk*
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ke,nʌl.k*e,lp-k,lk*
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ke,nʌl.k*e,lp-k,lk*
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ke,nʌl.k*e,lp-k,lk*
nvlp-ke,넓게,널께,nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ke,nʌl.k*e,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*o,lp-k,lk*
nvlp-ko,넓고,널꾸,nvl.gu,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ko,nʌl.k*u,lp-k,lk*
nvlp-ki,넓기,널끼,nvl.gi,lp-k,lg,1,0,,,1,lC+Obstruen,nʌlp-ki,nʌl.k*i,lp-k,lk*
nvlp-ta,넓다,널따,nvl.da,lp-t,ld,1,0,,,1,lC+Obstruen,nʌlp-ta,nʌl.t*a,lp-t,lt*
nvlp-ta,넓다,널따,nvl.da,lp-t,ld,1,0,,,1,lC+Obstruen,nʌlp-ta,nʌl.t*a,lp-t,lt*
nvlp-tako,넓다고,널따고,nvl.da.ko,lp-t,ld,1,0,,,1,lC+Obstruen,nʌlp-tako,nʌl.t*a.ko,lp-t,lt*
nvlp-tako,넓다고,널따고,nvl.da.ko,lp-t,ld,1,0,,,1,lC+Obstruen,nʌlp-tako,nʌl.t*a.ko,lp-t,lt*
nvlp-cika,넓지가,널찌가,nvl.Ji.ka,lp-c,lJ,1,0,,,1,lC+Obstruen,nʌlp-cika,nʌl.c*i.ka,lp-c,lc*
nvlp-cika,넓지가,널찌가,nvl.Ji.ka,lp-c,lJ,1,0,,,1,lC+Obstruen,nʌlp-cika,nʌl.c*i.ka,lp-c,lc*
nvlp-ke,넓게,넓께,nvlp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,nʌlp-ke,nʌlp.k*e,lp-k,lpk*
nvlp-ke,넓게,넓께,nvlp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,nʌlp-ke,nʌlp.k*e,lp-k,lpk*
nvlp-ke,넓게,넓께,nvlp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,nʌlp-ke,nʌlp.k*e,lp-k,lpk*
nvlp-ko,넓고,넓꼬,nvlp.go,lp-k,lpg,0,0,,,1,lC+Obstruen,nʌlp-ko,nʌlp.k*o,lp-k,lpk*
nvlp-ko,넓고,넓꼬,nvlp.go,lp-k,lpg,0,0,,,1,lC+Obstruen,nʌlp-ko,nʌlp.k*o,lp-k,lpk*
nvlp-ko,넓고,넓꼬,nvlp.go,lp-k,lpg,0,0,,,1,lC+Obstruen,nʌlp-ko,nʌlp.k*o,lp-k,lpk*
nvlp-sxpnita,넓습니다,넓슴니다,nvlp.sxm.ni.ta,lp-s,lps,0,0,,,0,lC+Obstruen,nʌlp-sɨpnita,nʌlp.sɨm.ni.ta,lp-s,lps
nvlp-cin,넓진,넓찐,nvlp.Jin,lp-c,lpJ,0,0,,,1,lC+Obstruen,nʌlp-cin,nʌlp.c*in,lp-c,lpc*
nvlp-ko,넓고,넙꼬,nvp.go,lp-k,pg,0,1,,,1,lC+Obstruen,nʌlp-ko,nʌp.k*o,lp-k,pk*
nvlp-ko,넓고,넙꼬,nvp.go,lp-k,pg,0,1,,,1,lC+Obstruen,nʌlp-ko,nʌp.k*o,lp-k,pk*
nvlp-canhayo,넓잖아요,넙짜나요,nvp.Ja.na.yo,lp-c,pJ,0,1,,,1,lC+Obstruen,nʌlp-canhajo,nʌp.c*a.na.jo,lp-c,pc*
nvlp-cvkhako,넓적하고,넙쩍하고,nvp.Jvk.ha.ko,lp-c,pJ,0,1,,,1,lC+Obstruen,nʌlp-cʌkhako,nʌp.c*ʌk.ha.ko,lp-c,pc*
nxlk-ki,늙기,늘끼,nxl.gi,lk-k,lg,1,0,,,1,lC+Obstruen,nɨlk-ki,nɨl.k*i,lk-k,lk*
nxlk-ki,늙기,늘끼,nxl.gi,lk-k,lg,1,0,,,1,lC+Obstruen,nɨlk-ki,nɨl.k*i,lk-k,lk*
nxlk-kinxn,늙기는,늘끼는,nxl.gi.nxn,lk-k,lg,1,0,,,1,lC+Obstruen,nɨlk-kinɨn,nɨl.k*i.nɨn,lk-k,lk*
nxlk-tolok,늙도록,늘또록,nxl.do.lok,lk-t,lJ,1,0,,,1,lC+Obstruen,nɨlk-tolok,nɨl.t*o.lok,lk-t,lc*
nxlk-caka,늙자가,늘짜가,nxl.Ja.ka,lk-c,lJ,1,0,,,1,lC+Obstruen,nɨlk-caka,nɨl.c*a.ka,lk-c,lc*
nxlk-canhayo,늙잖아요,늘짜나요,nxl.Ja.na.yo,lk-c,lJ,1,0,,,1,lC+Obstruen,nɨlk-canhajo,nɨl.c*a.na.jo,lk-c,lc*
nxlk-ca,늙자,늙짜,nxlk.Ja,lk-c,lkJ,0,0,,,1,lC+Obstruen,nɨlk-ca,nɨlk.c*a,lk-c,lkc*
talm-ko,닮고,달꼬,tal.go,lm-k,lg,1,0,,,1,lC+Obstruen,talm-ko,tal.k*o,lm-k,lk*
talm-ko,닮고,닮꼬,talm.go,lm-k,lmg,0,0,,,1,lC+Obstruen,talm-ko,talm.k*o,lm-k,lmk*
talm-ko,닮고,닮꼬,talm.go,lm-k,lmg,0,0,,,1,lC+Obstruen,talm-ko,talm.k*o,lm-k,lmk*
talm-ko,닮고,닮꼬,talm.go,lm-k,lmg,0,0,,,1,lC+Obstruen,talm-ko,talm.k*o,lm-k,lmk*
talm-ko,닮고,닮꼬,talm.go,lm-k,lmg,0,0,,,1,lC+Obstruen,talm-ko,talm.k*o,lm-k,lmk*
talm-ko,닮고,닮꼬,talm.go,lm-k,lmg,0,0,,,1,lC+Obstruen,talm-ko,talm.k*o,lm-k,lmk*
talm-ko,닮고,담고,tam.ko,lm-k,mk,0,1,,,0,lC+Obstruen,talm-ko,tam.ko,lm-k,mk
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,talm-ko,tam.k*o,lm-k,mk*
talm-kin,닮긴,담낀,tam.gin,lm-k,mg,0,1,,,1,lC+Obstruen,talm-kin,tam.k*in,lm-k,mk*
talm-kin,닮긴,담낀,tam.gin,lm-k,mg,0,1,,,1,lC+Obstruen,talm-kin,tam.k*in,lm-k,mk*
talm-kinxn,닮기는,담끼는,tam.gi.nxn,lm-k,mg,0,1,,,1,lC+Obstruen,talm-kinɨn,tam.k*i.nɨn,lm-k,mk*
talm-tvlakoyo,닮더라고요,담떠라고요,tam.dv.la.ko.yo,lm-t,md,0,1,,,1,lC+Obstruen,talm-tʌlakojo,tam.t*ʌ.la.ko.jo,lm-t,mt*
talm-ci,닮지,담찌,tam.Ji,lm-c,mJ,0,1,,,1,lC+Obstruen,talm-ci,tam.c*i,lm-c,mc*
talm-ci,닮지,담찌,tam.Ji,lm-c,mJ,0,1,,,1,lC+Obstruen,talm-ci,tam.c*i,lm-c,mc*
talm-ci,닮지,담찌,tam.Ji,lm-c,mJ,0,1,,,1,lC+Obstruen,talm-ci,tam.c*i,lm-c,mc*
talm-ci,닮지,담찌,tam.Ji,lm-c,mJ,0,1,,,1,lC+Obstruen,talm-ci,tam.c*i,lm-c,mc*
talm-ci,닮지,담치,tam.Ci,lm-c,mC,0,1,,,0,lC+Obstruen,talm-ci,tam.cʰi,lm-c,mcʰ
malk-ke,맑게,막께,mak.ge,lk-k,kg,0,1,,,1,lC+Obstruen,malk-ke,mak.k*e,lk-k,kk*
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,,,1,lC+Obstruen,malk-ko,mal.k*o,lk-k,lk*
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,,,1,lC+Obstruen,malk-ko,mal.k*o,lk-k,lk*
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,,,1,lC+Obstruen,malk-ko,mal.k*o,lk-k,lk*
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,,,1,lC+Obstruen,malk-ko,mal.k*o,lk-k,lk*
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,,,1,lC+Obstruen,malk-ko,mal.k*o,lk-k,lk*
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,,,1,lC+Obstruen,malk-ko,mal.k*o,lk-k,lk*
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,,,1,lC+Obstruen,malk-ko,mal.k*o,lk-k,lk*
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,,,1,lC+Obstruen,malk-ko,mal.k*o,lk-k,lk*
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,,,1,lC+Obstruen,malk-ko,mal.k*o,lk-k,lk*
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,,,1,lC+Obstruen,malk-ko,mal.k*o,lk-k,lk*
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,,,1,lC+Obstruen,malk-ko,mal.k*o,lk-k,lk*
malk-ko,맑고,말꼬,mal.go,lk-k,lg,1,0,,,1,lC+Obstruen,malk-ko,mal.k*o,lk-k,lk*
malk-ko,맑고,말꾸,mal.gu,lk-k,lg,1,0,,,1,lC+Obstruen,malk-ko,mal.k*u,lk-k,lk*
malk-ko,맑고,맑꼬,malk.go,lk-k,lkg,0,0,,,1,lC+Obstruen,malk-ko,malk.k*o,lk-k,lkk*
mulk-ci,묽지,묵찌,muk.Ji,lk-c,kJ,0,1,,,1,lC+Obstruen,mulk-ci,muk.c*i,lk-c,kc*
mulk-ke,묽게,물께,mul.ge,lk-k,lg,1,0,,,1,lC+Obstruen,mulk-ke,mul.k*e,lk-k,lk*
palk-tako,밝다고,박따고,pak.da.ko,lk-t,kd,0,1,,,1,lC+Obstruen,palk-tako,pak.t*a.ko,lk-t,kt*
palk-kvna,밝거나,발꺼나,pal.gv.na,lk-k,lg,1,0,,,1,lC+Obstruen,palk-kʌna,pal.k*ʌ.na,lk-k,lk*
palk-ke,밝게,발께,pal.ge,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ke,pal.k*e,lk-k,lk*
palk-ke,밝게,발께,pal.ge,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ke,pal.k*e,lk-k,lk*
palk-ke,밝게,발께,pal.ge,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ke,pal.k*e,lk-k,lk*
palk-ke,밝게,발께,pal.ge,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ke,pal.k*e,lk-k,lk*
palk-ke,밝게,발께,pal.ge,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ke,pal.k*e,lk-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palp-ko,밟고,발꼬,pal.go,lp-k,lg,1,0,,,1,lC+Obstruen,palp-ko,pal.k*o,lp-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palp-ko,밟고,발꼬,pal.go,lp-k,lg,1,0,,,1,lC+Obstruen,palp-ko,pal.k*o,lp-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palp-ko,밟고,발꼬,pal.go,lp-k,lg,1,0,,,1,lC+Obstruen,palp-ko,pal.k*o,lp-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palp-ko,밟고,발꼬,pal.go,lp-k,lg,1,0,,,1,lC+Obstruen,palp-ko,pal.k*o,lp-k,lk*
palp-ko,밟고,발꼬,pal.go,lp-k,lg,1,0,,,1,lC+Obstruen,palp-ko,pal.k*o,lp-k,lk*
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,palk-ko,pal.k*o,lk-k,lk*
palp-ko,밟고,발꼬,pal.go,lp-k,lg,1,0,,,1,lC+Obstruen,palp-ko,pal.k*o,lp-k,lk*
palk-kika,밝기가,발끼가,pal.gi.ka,lk-k,lg,1,0,,,1,lC+Obstruen,palk-kika,pal.k*i.ka,lk-k,lk*
palp-kito,밟기도,발끼도,pal.gi.to,lp-k,lg,1,0,,,1,lC+Obstruen,palp-kito,pal.k*i.to,lp-k,lk*
palk-tako,밝다고,발따고,pal.da.ko,lk-t,ld,1,0,,,1,lC+Obstruen,palk-tako,pal.t*a.ko,lk-t,lt*
palk-cito,밝지도,발찌도,pal.Ji.to,lk-c,lJ,1,0,,,1,lC+Obstruen,palk-cito,pal.c*i.to,lk-c,lc*
palp-ko,밟고,밟꼬,palp.go,lp-k,lpg,0,0,,,1,lC+Obstruen,palp-ko,palp.k*o,lp-k,lpk*
palp-ko,밟고,밥꼬,pap.go,lp-k,pg,0,1,,,1,lC+Obstruen,palp-ko,pap.k*o,lp-k,pk*
palp-ci,밟지,밥찌,pap.Ji,lp-c,pJ,0,1,,,1,lC+Obstruen,palp-ci,pap.c*i,lp-c,pc*
salm-sxpnita,삶습니다,삶슴니다,salm.sxm.ni.ta,lm-s,lm.s,0,0,,,0,lC+Obstruen,salm-sɨpnita,salm.sɨm.ni.ta,lm-s,lm.s
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ke,jal.k*e,lp-k,lk*
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ke,jal.k*e,lp-k,lk*
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ke,jal.k*e,lp-k,lk*
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ke,jal.k*e,lp-k,lk*
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ke,jal.k*e,lp-k,lk*
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ke,jal.k*e,lp-k,lk*
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ke,jal.k*e,lp-k,lk*
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ke,jal.k*e,lp-k,lk*
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ke,jal.k*e,lp-k,lk*
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ke,jal.k*e,lp-k,lk*
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ke,jal.k*e,lp-k,lk*
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ke,jal.k*e,lp-k,lk*
yalp-ko,얇고,얄꼬,yal.go,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ko,jal.k*o,lp-k,lk*
yalp-ko,얇고,얄꼬,yal.go,lp-k,lg,1,0,,,1,lC+Obstruen,jalp-ko,jal.k*o,lp-k,lk*
yalp-taponiga,얇다보니까,얄따보니까,yal.da.po.ni.ga,lp-t,ld,1,0,,,1,lC+Obstruen,jalp-taponik*a,jal.t*a.po.ni.k*a,lp-t,lt*
yalp-txn,얇든,얄뜬,yal.dxn,lp-t,ld,1,0,,,1,lC+Obstruen,jalp-tɨn,jal.t*ɨn,lp-t,lt*
yalp-kvna,얇거나,얇꺼나,yalp.gv.na,lp-k,lpg,0,0,,,1,lC+Obstruen,jalp-kʌna,jalp.k*ʌ.na,lp-k,lpk*
yalp-ke,얇게,얇께,yalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,jalp-ke,jalp.k*e,lp-k,lpk*
yalp-ke,얇게,얇께,yalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,jalp-ke,jalp.k*e,lp-k,lpk*
yalp-ke,얇게,얇께,yalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,jalp-ke,jalp.k*e,lp-k,lpk*
yalp-ke,얇게,얇께,yalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,jalp-ke,jalp.k*e,lp-k,lpk*
yalp-ke,얇게,얇께,yalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,jalp-ke,jalp.k*e,lp-k,lpk*
ilk-ke,읽게,익께,ik.ge,lk-k,kg,0,1,,,1,lC+Obstruen,ilk-ke,ik.k*e,lk-k,kk*
ilk-ko,읽고,익꼬,ik.go,lk-k,kg,0,1,,,1,lC+Obstruen,ilk-ko,ik.k*o,lk-k,kk*
ilk-ta,읽다,익따,ik.da,lk-t,kd,0,1,,,1,lC+Obstruen,ilk-ta,ik.t*a,lk-t,kt*
ilk-txlako,읽드라고,익뜨라고,ik.dx.la.ko,lk-t,kd,0,1,,,1,lC+Obstruen,ilk-tɨlako,ik.t*ɨ.la.ko,lk-t,kt*
