Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,IPA_Morphology_R,IPA_Production_R,IPA_UR,IPA_SR
ilk-canhayo,읽잖아요,익짜나요,ik.Ja.na.yo,lk-c,kJ,0,1,,,1,lC+Obstruen,ilk-canhajo,ik.c*a.na.jo,lk-c,kc*
ilk-kvna,읽거나,일꺼나,il.gv.na,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-kʌna,il.k*ʌ.na,lk-k,lk*
ilk-kvna,읽거나,일꺼나,il.gv.na,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-kʌna,il.k*ʌ.na,lk-k,lk*
ilk-kvna,읽거나,일꺼나,il.gv.na,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-kʌna,il.k*ʌ.na,lk-k,lk*
ilk-kvna,읽거나,일꺼나,il.gv.na,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-kʌna,il.k*ʌ.na,lk-k,lk*
ilk-kvna,읽거나,일꺼나,il.gv.na,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-kʌna,il.k*ʌ.na,lk-k,lk*
ilk-ke,읽게,일께,il.ge,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ke,il.k*e,lk-k,lk*
ilk-ke,읽게,일께,il.ge,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ke,il.k*e,lk-k,lk*
ilk-kegxm,읽게끔,일께끔,il.ge.gxm,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-kek*ɨm,il.k*e.k*ɨm,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ko,il.k*o,lk-k,lk*
ilk-konxn,읽고는,일꼬는,il.go.nxn,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-konɨn,il.k*o.nɨn,lk-k,lk*
ilk-koman,읽고만,일꼬만,il.go.man,lk-k,lg,1,0,,,0,lC+Obstruen,ilk-koman,il.k*o.man,lk-k,lk*
ilk-kosv,읽고서,일꼬서,il.go.sv,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-kosʌ,il.k*o.sʌ,lk-k,lk*
ilk-kosv,읽고서,일꼬서,il.go.sv,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-kosʌ,il.k*o.sʌ,lk-k,lk*
ilk-ki,읽기,일끼,il.gi,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ki,il.k*i,lk-k,lk*
ilk-ki,읽기,일끼,il.gi,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ki,il.k*i,lk-k,lk*
ilk-ki,읽기,일끼,il.gi,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ki,il.k*i,lk-k,lk*
ilk-ki,읽기,일끼,il.gi,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-ki,il.k*i,lk-k,lk*
ilk-kito,읽기도,일끼도,il.gi.to,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-kito,il.k*i.to,lk-k,lk*
ilk-kilatxnka,읽기라든가,일끼라던가,il.gi.la.tvn.ka,lk-k,lg,1,0,,,1,lC+Obstruen,ilk-kilatɨnka,il.k*i.la.tʌn.ka,lk-k,lk*
ilk-ta,읽다,일따,il.da,lk-t,ld,1,0,,,1,lC+Obstruen,ilk-ta,il.t*a,lk-t,lt*
ilk-ta,읽다,일따,il.da,lk-t,ld,1,0,,,1,lC+Obstruen,ilk-ta,il.t*a,lk-t,lt*
ilk-ta,읽다,일따,il.da,lk-t,ld,1,0,,,1,lC+Obstruen,ilk-ta,il.t*a,lk-t,lt*
ilk-taka,읽다가,일따가,il.da.ka,lk-t,ld,1,0,,,1,lC+Obstruen,ilk-taka,il.t*a.ka,lk-t,lt*
ilk-tvn,읽던,일떤,il.dvn,lk-t,ld,1,0,,,1,lC+Obstruen,ilk-tʌn,il.t*ʌn,lk-t,lt*
ilk-canha,읽잖아,일짜나,il.Ja.na,lk-c,lJ,1,0,,,1,lC+Obstruen,ilk-canha,il.c*a.na,lk-c,lc*
ilk-canhayo,읽잖아요,일짜나요,il.Ja.na.yo,lk-c,lJ,1,0,,,1,lC+Obstruen,ilk-canhajo,il.c*a.na.jo,lk-c,lc*
ilk-camaca,읽자마자,일짜마자,il.Ja.ma.ca,lk-c,lJ,1,0,,,1,lC+Obstruen,ilk-camaca,il.c*a.ma.ca,lk-c,lc*
ilk-ci,읽지,일찌,il.Ji,lk-c,lJ,1,0,,,1,lC+Obstruen,ilk-ci,il.c*i,lk-c,lc*
ilk-ko,읽고,일코,il.Ko,lk-k,lK,1,0,,,0,lC+Obstruen,ilk-ko,il.kʰo,lk-k,lkʰ
ilk-ko,읽고,일코,il.Ko,lk-k,lK,1,0,,,0,lC+Obstruen,ilk-ko,il.kʰo,lk-k,lkʰ
ilk-ki,읽기,일키,il.Ki,lk-k,lK,1,0,,,0,lC+Obstruen,ilk-ki,il.kʰi,lk-k,lkʰ
ilk-ko,읽고,읽꼬,ilk.go,lk-k,lkg,0,0,,,1,lC+Obstruen,ilk-ko,ilk.k*o,lk-k,lkk*
ilk-ko,읽고,읽꼬,ilk.go,lk-k,lkg,0,0,,,1,lC+Obstruen,ilk-ko,ilk.k*o,lk-k,lkk*
ilk-cinxn,읽지는,읽찐,ilk.Jin,lk-c,lkJ,0,0,,,1,lC+Obstruen,ilk-cinɨn,ilk.c*in,lk-c,lkc*
cvlm-ta,젊다,젊따,cvlm.da,lm-t,lmd,0,0,,,1,lC+Obstruen,cʌlm-ta,cʌlm.t*a,lm-t,lmt*
cvlm-ko,젊고,점고,cvm.ko,lm-k,mk,0,1,,,0,lC+Obstruen,cʌlm-ko,cʌm.ko,lm-k,mk
cvlm-kvna,젊거나,점꺼나,cvm.gv.na,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-kʌna,cʌm.k*ʌ.na,lm-k,mk*
cvlm-kvna,젊거나,점꺼나,cvm.gv.na,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-kʌna,cʌm.k*ʌ.na,lm-k,mk*
cvlm-ke,젊게,점께,cvm.ge,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ke,cʌm.k*e,lm-k,mk*
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*o,lm-k,mk*
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*o,lm-k,mk*
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*o,lm-k,mk*
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*o,lm-k,mk*
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*o,lm-k,mk*
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*o,lm-k,mk*
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*o,lm-k,mk*
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*o,lm-k,mk*
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*o,lm-k,mk*
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*o,lm-k,mk*
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*o,lm-k,mk*
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*o,lm-k,mk*
cvlm-ko,젊고,점꼬,cvm.go,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*o,lm-k,mk*
cvlm-ko,젊고,점꾸,cvm.gu,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-ko,cʌm.k*u,lm-k,mk*
cvlm-kito,젊기도,점끼도,cvm.gi.to,lm-k,mg,0,1,,,1,lC+Obstruen,cʌlm-kito,cʌm.k*i.to,lm-k,mk*
cvlm-tako,젊다고,점다고,cvm.ta.ko,lm-t,mt,0,1,,,0,lC+Obstruen,cʌlm-tako,cʌm.ta.ko,lm-t,mt
cvlm-ta,젊다,점따,cvm.da,lm-t,md,0,1,,,1,lC+Obstruen,cʌlm-ta,cʌm.t*a,lm-t,mt*
cvlm-ta,젊다,점따,cvm.da,lm-t,md,0,1,,,1,lC+Obstruen,cʌlm-ta,cʌm.t*a,lm-t,mt*
cvlm-tako,젊다고,점따고,cvm.da.ko,lm-t,md,0,1,,,1,lC+Obstruen,cʌlm-tako,cʌm.t*a.ko,lm-t,mt*
cvlm-tako,젊다고,점따고,cvm.da.ko,lm-t,md,0,1,,,1,lC+Obstruen,cʌlm-tako,cʌm.t*a.ko,lm-t,mt*
cvlm-tako,젊다고,점따고,cvm.da.ko,lm-t,md,0,1,,,1,lC+Obstruen,cʌlm-tako,cʌm.t*a.ko,lm-t,mt*
cvlm-tako,젊다고,점따고,cvm.da.ko,lm-t,md,0,1,,,1,lC+Obstruen,cʌlm-tako,cʌm.t*a.ko,lm-t,mt*
cvlm-tako,젊다고,점따고,cvm.da.ko,lm-t,md,0,1,,,1,lC+Obstruen,cʌlm-tako,cʌm.t*a.ko,lm-t,mt*
cvlm-tako,젊다고,점따고,cvm.da.ko,lm-t,md,0,1,,,1,lC+Obstruen,cʌlm-tako,cʌm.t*a.ko,lm-t,mt*
cvlm-talako,젊다라고,점따라고,cvm.da.la.ko,lm-t,md,0,1,,,1,lC+Obstruen,cʌlm-talako,cʌm.t*a.la.ko,lm-t,mt*
cvlm-txn,젊든,점뜬,cvm.dxn,lm-t,md,0,1,,,1,lC+Obstruen,cʌlm-tɨn,cʌm.t*ɨn,lm-t,mt*
cvlm-sxpnita,젊습니다,점씀니다,cvm.Sxm.ni.ta,lm-s,mS,0,1,,,1,lC+Obstruen,cʌlm-sɨpnita,cʌm.s*ɨm.ni.ta,lm-s,ms*
cvlm-cito,젊지도,점지도,cvm.ci.to,lm-c,mc,0,1,,,0,lC+Obstruen,cʌlm-cito,cʌm.ci.to,lm-c,mc
cvlm-canha,젊잖아,점짜나,cvm.Ja.na,lm-c,mJ,0,1,,,1,lC+Obstruen,cʌlm-canha,cʌm.c*a.na,lm-c,mc*
cvlm-ci,젊지,점찌,cvm.Ji,lm-c,mJ,0,1,,,1,lC+Obstruen,cʌlm-ci,cʌm.c*i,lm-c,mc*
cvlm-cimanyo,젊지만요,점찌만요,cvm.Ji.man.yo,lm-c,mJ,0,1,,,1,lC+Obstruen,cʌlm-cimanjo,cʌm.c*i.man.jo,lm-c,mc*
cilxpalp-ko,지르밟고,지러발꼬,ci.lv.pal.go,lp-k,lg,1,0,,,1,lC+Obstruen,cilɨpalp-ko,ci.lʌ.pal.k*o,lp-k,lk*
cispalp-ke,짓밟게,짓발께,cis.pal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,cispalp-ke,cis.pal.k*e,lp-k,lk*
cispalp-ci,짓밟지,짓빨찌,cis.bal.Ji,lp-c,lJ,1,0,,,1,lC+Obstruen,cispalp-ci,cis.p*al.c*i,lp-c,lc*
Jalp-ke,짧게,짝께,Jak.ge,lp-k,kg,0,1,,,1,lC+Obstruen,c*alp-ke,c*ak.k*e,lp-k,kk*
Jalp-ko,짧고,짤고,Jal.ko,lp-k,lk,1,0,,,0,lC+Obstruen,c*alp-ko,c*al.ko,lp-k,lk
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-kelakipota,짧게라기보다,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-kelakipota,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ko,짧고,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ko,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-ke,c*al.k*e,lp-k,lk*
Jalp-kenama,짧게나마,짤께나마,Jal.ge.na.ma,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-kenama,c*al.k*e.na.ma,lp-k,lk*
Jalp-kenama,짧게나마,짤께나마,Jal.ge.na.ma,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-kenama,c*al.k*e.na.ma,lp-k,lk*
Jalp-kenama,짧게나마,짤께나마,Jal.ge.na.ma,lp-k,lg,1,0,,,1,lC+Obstruen,c*alp-kenama,c*al.k*e.na.ma,lp-k,lk*
