Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,tensify,nasalize,lateralize,Type,notes,IPA_Morphology_R,IPA_Production_R,IPA_UR,IPA_SR
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨn,kum.nɨn,lm-n,mn
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨn,kum.nɨn,lm-n,mn
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨn,kum.nɨn,lm-n,mn
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨn,kum.nɨn,lm-n,mn
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨn,kum.nɨn,lm-n,mn
kulm-nxntako,굶는다고,굼는다고,kum.nxn.ta.ko,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨntako,kum.nɨn.ta.ko,lm-n,mn
kulm-nxntanxn,굶는다는,굼는다는,kum.nxn.ta.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨntanɨn,kum.nɨn.ta.nɨn,lm-n,mn
kxlk-nxn,긁는,극는,kxk.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,kɨlk-nɨn,kɨk.nɨn,lk-n,kn
kxlk-nxn,긁는,극는,kxk.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,kɨlk-nɨn,kɨk.nɨn,lk-n,kn
nxlk-nxn,늙는,늑는,nxk.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,nɨlk-nɨn,nɨk.nɨn,lk-n,kn
nxlk-nxn,늙는,늘는,nxl.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,,nɨlk-nɨn,nɨl.nɨn,lk-n,ln
talm-nxn,닮는,담는,tam.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,talm-nɨn,tam.nɨn,lm-n,mn
talm-nxnta,닮는다,담는다,tam.nxn.ta,lm-n,mn,0,1,0,0,0,lC+Sonorant,,talm-nɨnta,tam.nɨn.ta,lm-n,mn
talm-nxntako,닮는다고,담는다고,tam.nxn.ta.ko,lm-n,mn,0,1,0,0,0,lC+Sonorant,,talm-nɨntako,tam.nɨn.ta.ko,lm-n,mn
talm-nxntanxn,닮는다는,담는다는,tam.nxn.ta.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,talm-nɨntanɨn,tam.nɨn.ta.nɨn,lm-n,mn
palp-nxn,밟는,발는,pal.nxn,lp-n,ln,1,0,0,0,0,lC+Sonorant,,palp-nɨn,pal.nɨn,lp-n,ln
palp-nxn,밟는,밥는,pap.nxn,lp-n,pn,0,1,0,0,0,lC+Sonorant,,palp-nɨn,pap.nɨn,lp-n,pn
palp-nxn,밟는,밥는,pap.nxn,lp-n,pn,0,1,0,0,0,lC+Sonorant,,palp-nɨn,pap.nɨn,lp-n,pn
palp-nxn,밟는,밥는,pap.nxn,lp-n,pn,0,1,0,0,0,lC+Sonorant,,palp-nɨn,pap.nɨn,lp-n,pn
palp-nxn,밟는,밥는,pap.nxn,lp-n,pn,0,1,0,0,0,lC+Sonorant,,palp-nɨn,pap.nɨn,lp-n,pn
salm-nxn,삶는,쌈는,Sam.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,salm-nɨn,s*am.nɨn,lm-n,mn
salm-nxntatxnka,삶는다든가,쌈는다든가,Sam.nxn.ta.txn.ka,lm-n,mn,0,1,0,0,0,lC+Sonorant,,salm-nɨntatɨnka,s*am.nɨn.ta.tɨn.ka,lm-n,mn
ilk-napwayo,읽나봐요,익나봐요,ik.na.pwa.yo,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-napwajo,ik.na.pwa.jo,lk-n,kn
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨn,ik.nɨn,lk-n,kn
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨn,ik.nɨn,lk-n,kn
ilk-nxntatxnci,읽는다든지,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨntatɨnci,ik.nɨn,lk-n,kn
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨn,ik.nɨn,lk-n,kn
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨn,ik.nɨn,lk-n,kn
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨn,ik.nɨn,lk-n,kn
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨn,ik.nɨn,lk-n,kn
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨn,ik.nɨn,lk-n,kn
ilk-nxnkuna,읽는구나,익는구나,ik.nxn.ku.na,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨnkuna,ik.nɨn.ku.na,lk-n,kn
ilk-nxntanxn,읽는다는,익는다는,ik.nxn.ta.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨntanɨn,ik.nɨn.ta.nɨn,lk-n,kn
ilk-nxntatxnka,읽는다든가,익는다든가,ik.nxn.ta.txn.ka,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨntatɨnka,ik.nɨn.ta.tɨn.ka,lk-n,kn
ilk-nxnte,읽는데,익는데,ik.nxn.te,lk-n,kn,0,0,0,0,0,lC+Sonorant,,ilk-nɨnte,ik.nɨn.te,lk-n,kn
ilk-nxnteto,읽는데도,익는데도,ik.nxn.te.to,lk-n,kn,0,1,0,0,0,lC+Sonorant,,ilk-nɨnteto,ik.nɨn.te.to,lk-n,kn
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,,ilk-nɨn,il.nɨn,lk-n,ln
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,,ilk-nɨn,il.nɨn,lk-n,ln
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,,ilk-nɨn,il.nɨn,lk-n,ln
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,,ilk-nɨn,il.nɨn,lk-n,ln
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,,ilk-nɨn,il.nɨn,lk-n,ln
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,,ilk-nɨn,il.nɨn,lk-n,ln
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,,ilk-nɨn,il.nɨn,lk-n,ln
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,,ilk-nɨn,il.nɨn,lk-n,ln
ilk-nxntakvna,읽는다거나,일는다거나,il.nxn.ta.kv.na,lk-n,ln,1,0,0,0,0,lC+Sonorant,,ilk-nɨntakʌna,il.nɨn.ta.kʌ.na,lk-n,ln
ilk-nxntatxnka,읽는다든가,일는다던가,il.nxn.ta.tvn.ka,lk-n,ln,1,0,0,0,0,lC+Sonorant,,ilk-nɨntatɨnka,il.nɨn.ta.tʌn.ka,lk-n,ln
ilk-nxntatxnka,읽는다든가,일는다든가,il.nxn.ta.txn.ka,lk-n,ln,1,0,0,0,0,lC+Sonorant,,ilk-nɨntatɨnka,il.nɨn.ta.tɨn.ka,lk-n,ln
ilk-nxn,읽는,읽는,ilk.nxn,lk-n,lkn,0,0,0,0,0,lC+Sonorant,,ilk-nɨn,ilk.nɨn,lk-n,lkn
ilk-nxnte,읽는데,읽는데,ilk.nxn.te,lk-n,lkn,0,0,0,0,0,lC+Sonorant,,ilk-nɨnte,ilk.nɨn.te,lk-n,lkn
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,ilk-nɨn,iŋ.nɨn,lk-n,ŋn
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,ilk-nɨn,iŋ.nɨn,lk-n,ŋn
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,ilk-nɨn,iŋ.nɨn,lk-n,ŋn
ilk-nxntatxnka,읽는다든가,잉는다던가,iN.nxn.ta.tvn.ka,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,ilk-nɨntatɨnka,iŋ.nɨn.ta.tʌn.ka,lk-n,ŋn
cispalp-nxntako,짓밟는다고,짓밟는다고,cis.palp.nxn.ta.ko,lp-n,lpn,0,0,0,0,0,lC+Sonorant,,cispalp-nɨntako,cis.palp.nɨn.ta.ko,lp-n,lpn
cispalp-nxn,짓밟는,짓빫는,cis.balp.nxn,lp-n,lpn,0,0,0,0,0,lC+Sonorant,,cispalp-nɨn,cis.p*alp.nɨn,lp-n,lpn
halT-nxn,핥는,할른,hal.lxn,lT-n,ll,1,0,0,0,1,lC+Sonorant,,haltʰ-nɨn,hal.lɨn,ltʰ-n,ll
halT-nxn,핥는,할른,hal.lxn,lT-n,ll,1,0,0,0,1,lC+Sonorant,,haltʰ-nɨn,hal.lɨn,ltʰ-n,ll
kulm-nxn,굶는,굴는,kul.nxn,lm-n,ln,1,0,0,0,0,lC+Sonorant,,kulm-nɨn,kul.nɨn,lm-n,ln
ilk-nxn,읽는,일른,il.lxn,lk-n,ll,1,0,0,0,1,lC+Sonorant,,ilk-nɨn,il.lɨn,lk-n,ll
salm-nxntatxnka,삶는다든가,쌈는다등가,Sam.nxn.ta.txN.ka,lm-n,mn,0,1,0,0,0,lC+Sonorant,,salm-nɨntatɨnka,s*am.nɨn.ta.tɨŋ.ka,lm-n,mn
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,kulm-nɨn,kum.nɨn,lm-n,mn
nxlk-nxn,늙는,능는,nxN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,nɨlk-nɨn,nɨŋ.nɨn,lk-n,ŋn
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,ilk-nɨn,iŋ.nɨn,lk-n,ŋn
nxlk-nxn,늙는,능는,nxN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,nɨlk-nɨn,nɨŋ.nɨn,lk-n,ŋn
ilk-nxntatxnci,읽는다든지,읽는다든지,ilk.nxn.ta.txn.ci,lk-n,lkn,0,0,0,0,0,lC+Sonorant,,ilk-nɨntatɨnci,ilk.nɨn.ta.tɨn.ci,lk-n,lkn
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,ilk-nɨn,iŋ.nɨn,lk-n,ŋn
ilk-nxntatxnka,읽는다든가,잉는다덩가,iN.nxn.ta.tvN.ka,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,ilk-nɨntatɨnka,iŋ.nɨn.ta.tʌŋ.ka,lk-n,ŋn
kxlk-nxn,긁는,긍는,kxN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,kɨlk-nɨn,kɨŋ.nɨn,lk-n,ŋn
palp-nxn,밟는,밟는,palp.nxn,lp-n,lpn,0,0,0,0,0,lC+Sonorant,,palp-nɨn,palp.nɨn,lp-n,lpn
nxlk-nxn,늙는,능는,nxN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,nɨlk-nɨn,nɨŋ.nɨn,lk-n,ŋn
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,,ilk-nɨn,il.nɨn,lk-n,ln
kxlk-nxn,긁는,긍는,kxN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,kɨlk-nɨn,kɨŋ.nɨn,lk-n,ŋn
palp-nxntanxn,밟는다는,밤는다는,pam.nxn.ta.nxn,lp-n,mn,0,1,0,1,0,lC+Sonorant,,palp-nɨntanɨn,pam.nɨn.ta.nɨn,lp-n,mn
ilk-nxnte,읽는데,잉는데,iN.nxn.te,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,ilk-nɨnte,iŋ.nɨn.te,lk-n,ŋn
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,ilk-nɨn,iŋ.nɨn,lk-n,ŋn
ilk-nxntako,읽는다고,일는다고,il.nxn.ta.ko,lk-n,ln,1,0,0,0,0,lC+Sonorant,,ilk-nɨntako,il.nɨn.ta.ko,lk-n,ln
talm-nxntako,닮는다고,달믄다고,tal.mxn.ta.ko,lm-n,lm,1,0,0,0,0,lC+Sonorant,,talm-nɨntako,tal.mɨn.ta.ko,lm-n,lm
palp-nxn,밟는,밟는,palp.nxn,lp-n,lpn,0,0,0,0,0,lC+Sonorant,,palp-nɨn,palp.nɨn,lp-n,lpn
ilk-nxn,읽는,읽는,ilk.nxn,lk-n,lkn,0,0,0,0,0,lC+Sonorant,,ilk-nɨn,ilk.nɨn,lk-n,lkn
talm-nxn,닮는,담는,tam.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,talm-nɨn,tam.nɨn,lm-n,mn
palp-nxn,밟는,밟는,palp.nxn,lp-n,lpn,0,0,0,0,0,lC+Sonorant,,palp-nɨn,palp.nɨn,lp-n,lpn
palp-nxn,밟는,밞는,palm.nxn,lp-n,lmn,0,0,0,1,0,lC+Sonorant,,palp-nɨn,palm.nɨn,lp-n,lmn
nxlk-nxntacanha,늙는다잖아,능는다자나,nxN.nxn.ta.ca.na,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,nɨlk-nɨntacanha,nɨŋ.nɨn.ta.ca.na,lk-n,ŋn
ilk-nxnte,읽는데,잉는데,iN.nxn.te,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,ilk-nɨnte,iŋ.nɨn.te,lk-n,ŋn
talm-nxntamyvnsv,닮는다면서,담는다면서,tam.nxn.ta.myvn.sv,lm-n,mn,0,1,0,0,0,lC+Sonorant,,talm-nɨntamjʌnsʌ,tam.nɨn.ta.mjʌn.sʌ,lm-n,mn
Jalp-nyako,짧냐고,짭냐고,Jap.nya.ko,lp-n,pn,0,1,0,0,0,lC+Sonorant,,c*alp-njako,c*ap.nja.ko,lp-n,pn
palp-nxn,밟는,밟는,palp.nxn,lp-n,lpn,0,0,0,0,0,lC+Sonorant,,palp-nɨn,palp.nɨn,lp-n,lpn
salm-nxn,삶는,쌈는,Sam.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,salm-nɨn,s*am.nɨn,lm-n,mn
talm-nxn,닮는,담는,tam.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,,talm-nɨn,tam.nɨn,lm-n,mn
nxlk-nxntanxn,늙는다는,능는다는,nxN.nxn.ta.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,nɨlk-nɨntanɨn,nɨŋ.nɨn.ta.nɨn,lk-n,ŋn
nxlk-nxnta,늙는다,능는다,nxN.nxn.ta,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,nɨlk-nɨnta,nɨŋ.nɨn.ta,lk-n,ŋn
nxlk-nxntani,늙는다니,능는다니,nxN.nxn.ta.ni,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,nɨlk-nɨntani,nɨŋ.nɨn.ta.ni,lk-n,ŋn
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,ilk-nɨn,iŋ.nɨn,lk-n,ŋn
kxlk-nxntakvna,긁는다거나,긍는다거나,kxN.nxn.ta.kv.na,lk-n,Nn,0,1,0,1,0,lC+Sonorant,,kɨlk-nɨntakʌna,kɨŋ.nɨn.ta.kʌ.na,lk-n,ŋn
palp-nxn,밟는,발른,pal.lxn,lp-n,ll,1,0,0,0,1,lC+Sonorant,,palp-nɨn,pal.lɨn,lp-n,ll
