Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,n,IPA_Morphology_R,IPA_UR,IPA_SR
ilk-vposyvScyo,읽어보셨죠,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌposjʌs*cjo,lk-ʌ,lkʌ
ilk-vposyvSvyo,읽어보셨어요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌposjʌs*ʌjo,lk-ʌ,lkʌ
ilk-vposyvSxlgayo,읽어보셨을까요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌposjʌs*ɨlk*ajo,lk-ʌ,lkʌ
ilk-vpol,읽어볼,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌpol,lk-ʌ,lkʌ
ilk-vpon,읽어본,,,lk-v,lkv,0,0,,,0,lC+Vowel,5,ilk-ʌpon,lk-ʌ,lkʌ
ilk-vpwaculke,읽어봐줄게,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwaculke,lk-ʌ,lkʌ
ilk-vpwato,읽어봐도,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌpwato,lk-ʌ,lkʌ
ilk-vpwaSkoyo,읽어봤고요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwas*kojo,lk-ʌ,lkʌ
ilk-vpwaSkvtxnyo,읽어봤거든요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwas*kʌtɨnjo,lk-ʌ,lkʌ
ilk-vpwaSnxnte,읽어봤는데,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌpwas*nɨnte,lk-ʌ,lkʌ
ilk-vpwaSnxnteyo,읽어봤는데요,,,lk-v,lkv,0,0,,,0,lC+Vowel,3,ilk-ʌpwas*nɨntejo,lk-ʌ,lkʌ
ilk-vpwaStan,읽어봤단,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwas*tan,lk-ʌ,lkʌ
ilk-vpwaStvn,읽어봤던,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwas*tʌn,lk-ʌ,lkʌ
ilk-vpwaSv,읽어봤어,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌpwas*ʌ,lk-ʌ,lkʌ
ilk-vpwaSvyo,읽어봤어요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwas*ʌjo,lk-ʌ,lkʌ
ilk-vpwaSxl,읽어봤을,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌpwas*ɨl,lk-ʌ,lkʌ
ilk-vsv,읽어서,,,lk-v,lkv,0,0,,,0,lC+Vowel,4,ilk-ʌsʌ,lk-ʌ,lkʌ
ilk-vto,읽어도,,,lk-v,lkv,0,0,,,0,lC+Vowel,4,ilk-ʌto,lk-ʌ,lkʌ
ilk-vtxlipni,읽어드립니,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌtɨlipni,lk-ʌ,lkʌ
ilk-vya,읽어야,,,lk-v,lkv,0,0,,,0,lC+Vowel,8,ilk-ʌja,lk-ʌ,lkʌ
ilk-vyaci,읽어야지,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌjaci,lk-ʌ,lkʌ
ilk-vyacilako,읽어야지라고,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌjacilako,lk-ʌ,lkʌ
ilk-vyakeSta,읽어야겠다,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌjakes*ta,lk-ʌ,lkʌ
ilk-vyo,읽어요,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌjo,lk-ʌ,lkʌ
ilk-vScanha,읽었잖아,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌs*canha,lk-ʌ,lkʌ
ilk-vSki,읽었기,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌs*ki,lk-ʌ,lkʌ
ilk-vSko,읽었고,,,lk-v,lkv,0,0,,,0,lC+Vowel,3,ilk-ʌs*ko,lk-ʌ,lkʌ
ilk-vSkvtxn,읽었거든,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌs*kʌtɨn,lk-ʌ,lkʌ
ilk-vSkvtxnyo,읽었거든요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌs*kʌtɨnjo,lk-ʌ,lkʌ
ilk-vSnxnte,읽었는데,,,lk-v,lkv,0,0,,,0,lC+Vowel,14,ilk-ʌs*nɨnte,lk-ʌ,lkʌ
ilk-vSnxnteyo,읽었는데요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌs*nɨntejo,lk-ʌ,lkʌ
ilk-vSta,읽었다,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌs*ta,lk-ʌ,lkʌ
ilk-vStako,읽었다고,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌs*tako,lk-ʌ,lkʌ
ilk-vStvn,읽었던,,,lk-v,lkv,0,0,,,0,lC+Vowel,14,ilk-ʌs*tʌn,lk-ʌ,lkʌ
ilk-vSv,읽었어,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌs*ʌ,lk-ʌ,lkʌ
ilk-vSvyo,읽었어요,,,lk-v,lkv,0,0,,,0,lC+Vowel,4,ilk-ʌs*ʌjo,lk-ʌ,lkʌ
ilk-vSvSkvtxn,읽었었거든,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌs*ʌs*kʌtɨn,lk-ʌ,lkʌ
ilk-vSvSkvtxnyo,읽었었거든요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌs*ʌs*kʌtɨnjo,lk-ʌ,lkʌ
ilk-vSvSnxn,읽었었는,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌs*ʌs*nɨn,lk-ʌ,lkʌ
ilk-vSvSnxnte,읽었었는데,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,ilk-ʌs*ʌs*nɨnte,lk-ʌ,lkʌ
ilk-vSvSnxnteyo,읽었었는데요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌs*ʌs*nɨntejo,lk-ʌ,lkʌ
ilk-vSvSsxpnita,읽었었습니다,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌs*ʌs*sɨpnita,lk-ʌ,lkʌ
ilk-vSx,읽었으,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,ilk-ʌs*ɨ,lk-ʌ,lkʌ
ilk-vSxl,읽었을,,,lk-v,lkv,0,0,,,0,lC+Vowel,4,ilk-ʌs*ɨl,lk-ʌ,lkʌ
ilk-xla,읽으라,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,ilk-ɨla,lk-ɨ,lkɨ
ilk-xlyvko,읽으려고,,,lk-x,lkx,0,0,,,0,lC+Vowel,2,ilk-ɨljʌko,lk-ɨ,lkɨ
ilk-xmyvn,읽으면,,,lk-x,lkx,0,0,,,0,lC+Vowel,5,ilk-ɨmjʌn,lk-ɨ,lkɨ
ilk-xmyvnsv,읽으면서,,,lk-x,lkx,0,0,,,0,lC+Vowel,19,ilk-ɨmjʌnsʌ,lk-ɨ,lkɨ
ilk-xmyvnsvto,읽으면서도,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,ilk-ɨmjʌnsʌto,lk-ɨ,lkɨ
ilk-xmyvnxn,읽으면은,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,ilk-ɨmjʌnɨn,lk-ɨ,lkɨ
ilk-xniga,읽으니까,,,lk-x,lkx,0,0,,,0,lC+Vowel,5,ilk-ɨnik*a,lk-ɨ,lkɨ
ilk-xseyo,읽으세요,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,ilk-ɨsejo,lk-ɨ,lkɨ
ilk-xsinxn,읽으시는,,,lk-x,lkx,0,0,,,0,lC+Vowel,6,ilk-ɨsinɨn,lk-ɨ,lkɨ
ilk-xsinxnci,읽으시는지,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,ilk-ɨsinɨnci,lk-ɨ,lkɨ
ilk-xsyvsv,읽으셔서,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,ilk-ɨsjʌsʌ,lk-ɨ,lkɨ
ilk-xsyvSkeSvyo,읽으셨겠어요,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,ilk-ɨsjʌs*kes*ʌjo,lk-ɨ,lkɨ
ilk-xl,읽을,,,lk-x,lkx,0,0,,,0,lC+Vowel,18,ilk-ɨl,lk-ɨ,lkɨ
ilk-xn,읽은,,,lk-x,lkx,0,0,,,0,lC+Vowel,17,ilk-ɨn,lk-ɨ,lkɨ
kalk-a,갉아,,,lk-a,lka,0,0,,,0,lC+Vowel,5,kalk-a,lk-a,lka
kalk-amvkko,갉아먹고,,,lk-a,lka,0,0,,,0,lC+Vowel,2,kalk-amʌkko,lk-a,lka
kalk-amvknxn,갉아먹는,,,lk-a,lka,0,0,,,0,lC+Vowel,3,kalk-amʌknɨn,lk-a,lka
kalk-amvkxn,갉아먹은,,,lk-a,lka,0,0,,,0,lC+Vowel,1,kalk-amʌkɨn,lk-a,lka
kolm-a,곪아,,,lm-a,lma,0,0,,,0,lC+Vowel,1,kolm-a,lm-a,lma
kolm-xl,곪을,,,lm-x,lmx,0,0,,,0,lC+Vowel,2,kolm-ɨl,lm-ɨ,lmɨ
kulk-vciko,굵어지고,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,kulk-ʌciko,lk-ʌ,lkʌ
kulk-vSko,굵었고,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,kulk-ʌs*ko,lk-ʌ,lkʌ
kulk-vSvyo,굵었어요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,kulk-ʌs*ʌjo,lk-ʌ,lkʌ
kulk-xn,굵은,,,lk-x,lkx,0,0,,,0,lC+Vowel,6,kulk-ɨn,lk-ɨ,lkɨ
kulm-v,굶어,,,lm-v,lmv,0,0,,,0,lC+Vowel,13,kulm-ʌ,lm-ʌ,lmʌ
kulm-vkamyvnsv,굶어가면서,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,kulm-ʌkamjʌnsʌ,lm-ʌ,lmʌ
kulm-vsv,굶어서,,,lm-v,lmv,0,0,,,0,lC+Vowel,6,kulm-ʌsʌ,lm-ʌ,lmʌ
kulm-vto,굶어도,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,kulm-ʌto,lm-ʌ,lmʌ
kulm-vya,굶어야,,,lm-v,lmv,0,0,,,0,lC+Vowel,3,kulm-ʌja,lm-ʌ,lmʌ
kulm-vSci,굶었지,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,kulm-ʌs*ci,lm-ʌ,lmʌ
kulm-vSvyo,굶었어요,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,kulm-ʌs*ʌjo,lm-ʌ,lmʌ
kulm-vSxmyvn,굶었으면,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,kulm-ʌs*ɨmjʌn,lm-ʌ,lmʌ
kulm-xmyvn,굶으면,,,lm-x,lmx,0,0,,,0,lC+Vowel,3,kulm-ɨmjʌn,lm-ɨ,lmɨ
kulm-xmyvnsv,굶으면서,,,lm-x,lmx,0,0,,,0,lC+Vowel,5,kulm-ɨmjʌnsʌ,lm-ɨ,lmɨ
kulm-xmyvnxn,굶으면은,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,kulm-ɨmjʌnɨn,lm-ɨ,lmɨ
kulm-xl,굶을,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,kulm-ɨl,lm-ɨ,lmɨ
kxlk-v,긁어,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,kɨlk-ʌ,lk-ʌ,lkʌ
kxlk-vcwvScyo,긁어줬죠,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,kɨlk-ʌcwʌs*cjo,lk-ʌ,lkʌ
kxlk-vcwvSnxnte,긁어줬는데,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,kɨlk-ʌcwʌs*nɨnte,lk-ʌ,lkʌ
kxlk-vmvkko,긁어먹고,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,kɨlk-ʌmʌkko,lk-ʌ,lkʌ
kxlk-vmvktvniman,긁어먹더니만,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,kɨlk-ʌmʌktʌniman,lk-ʌ,lkʌ
kxlk-vsv,긁어서,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,kɨlk-ʌsʌ,lk-ʌ,lkʌ
kxlk-vto,긁어도,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,kɨlk-ʌto,lk-ʌ,lkʌ
kxlk-vyo,긁어요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,kɨlk-ʌjo,lk-ʌ,lkʌ
kxlk-vStanxn,긁었다는,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,kɨlk-ʌs*tanɨn,lk-ʌ,lkʌ
kxlk-vStvn,긁었던,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,kɨlk-ʌs*tʌn,lk-ʌ,lkʌ
kxlk-xlyvko,긁으려고,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,kɨlk-ɨljʌko,lk-ɨ,lkɨ
kxlk-xmyvn,긁으면,,,lk-x,lkx,0,0,,,0,lC+Vowel,2,kɨlk-ɨmjʌn,lk-ɨ,lkɨ
kxlk-xmyvnsv,긁으면서,,,lk-x,lkx,0,0,,,0,lC+Vowel,2,kɨlk-ɨmjʌnsʌ,lk-ɨ,lkɨ
kxlk-xl,긁을,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,kɨlk-ɨl,lk-ɨ,lkɨ
kxlk-xn,긁은,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,kɨlk-ɨn,lk-ɨ,lkɨ
malk-a,맑아,,,lk-a,lka,0,0,,,0,lC+Vowel,1,malk-a,lk-a,lka
malk-acike,맑아지게,,,lk-a,lka,0,0,,,0,lC+Vowel,1,malk-acike,lk-a,lka
malk-aciko,맑아지고,,,lk-a,lka,0,0,,,0,lC+Vowel,1,malk-aciko,lk-a,lka
malk-acinxn,맑아지는,,,lk-a,lka,0,0,,,0,lC+Vowel,7,malk-acinɨn,lk-a,lka
malk-acin,맑아진,,,lk-a,lka,0,0,,,0,lC+Vowel,1,malk-acin,lk-a,lka
malk-acintako,맑아진다고,,,lk-a,lka,0,0,,,0,lC+Vowel,1,malk-acintako,lk-a,lka
malk-acyvyo,맑아져요,,,lk-a,lka,0,0,,,0,lC+Vowel,1,malk-acjʌjo,lk-a,lka
malk-asv,맑아서,,,lk-a,lka,0,0,,,0,lC+Vowel,3,malk-asʌ,lk-a,lka
malk-ato,맑아도,,,lk-a,lka,0,0,,,0,lC+Vowel,1,malk-ato,lk-a,lka
malk-ayo,맑아요,,,lk-a,lka,0,0,,,0,lC+Vowel,1,malk-ajo,lk-a,lka
malk-aStaka,맑았다가,,,lk-a,lka,0,0,,,0,lC+Vowel,2,malk-as*taka,lk-a,lka
malk-aStvn,맑았던,,,lk-a,lka,0,0,,,0,lC+Vowel,1,malk-as*tʌn,lk-a,lka
malk-aSvSkvtxnyo,맑았었거든요,,,lk-a,lka,0,0,,,0,lC+Vowel,1,malk-as*ʌs*kʌtɨnjo,lk-a,lka
malk-aSxmyvn,맑았으면,,,lk-a,lka,0,0,,,0,lC+Vowel,2,malk-as*ɨmjʌn,lk-a,lka
malk-xmyvn,맑으면,,,lk-x,lkx,0,0,,,0,lC+Vowel,3,malk-ɨmjʌn,lk-ɨ,lkɨ
malk-xmyvnsv,맑으면서,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,malk-ɨmjʌnsʌ,lk-ɨ,lkɨ
malk-xl,맑을,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,malk-ɨl,lk-ɨ,lkɨ
malk-xn,맑은,,,lk-x,lkx,0,0,,,0,lC+Vowel,59,malk-ɨn,lk-ɨ,lkɨ
nalk-a,낡아,,,lk-a,lka,0,0,,,0,lC+Vowel,1,nalk-a,lk-a,lka
nalk-acyvSxl,낡아졌을,,,lk-a,lka,0,0,,,0,lC+Vowel,1,nalk-acjʌs*ɨl,lk-a,lka
nalk-asv,낡아서,,,lk-a,lka,0,0,,,0,lC+Vowel,3,nalk-asʌ,lk-a,lka
nalk-aSko,낡았고,,,lk-a,lka,0,0,,,0,lC+Vowel,1,nalk-as*ko,lk-a,lka
nalk-xn,낡은,,,lk-x,lkx,0,0,,,0,lC+Vowel,8,nalk-ɨn,lk-ɨ,lkɨ
nvlp-idwiki,넓이뛰기,,,lp-i,lpi,0,0,,,0,lC+Vowel,1,nʌlp-it*wiki,lp-i,lpi
nvlp-v,넓어,,,lp-v,lpv,0,0,,,0,lC+Vowel,4,nʌlp-ʌ,lp-ʌ,lpʌ
nvlp-vcikeSta,넓어지겠다,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌcikes*ta,lp-ʌ,lpʌ
nvlp-vciki,넓어지기,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌciki,lp-ʌ,lpʌ
nvlp-vciko,넓어지고,,,lp-v,lpv,0,0,,,0,lC+Vowel,6,nʌlp-ʌciko,lp-ʌ,lpʌ
nvlp-vcimyvn,넓어지면,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌcimjʌn,lp-ʌ,lpʌ
nvlp-vcimyvnsv,넓어지면서,,,lp-v,lpv,0,0,,,0,lC+Vowel,2,nʌlp-ʌcimjʌnsʌ,lp-ʌ,lpʌ
nvlp-vcinxn,넓어지는,,,lp-v,lpv,0,0,,,0,lC+Vowel,3,nʌlp-ʌcinɨn,lp-ʌ,lpʌ
nvlp-vcinxnkuna,넓어지는구나,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌcinɨnkuna,lp-ʌ,lpʌ
nvlp-vcil,넓어질,,,lp-v,lpv,0,0,,,0,lC+Vowel,4,nʌlp-ʌcil,lp-ʌ,lpʌ
nvlp-vcilsulok,넓어질수록,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌcilsulok,lp-ʌ,lpʌ
nvlp-vcin,넓어진,,,lp-v,lpv,0,0,,,0,lC+Vowel,3,nʌlp-ʌcin,lp-ʌ,lpʌ
nvlp-vcinta,넓어진다,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌcinta,lp-ʌ,lpʌ
nvlp-vcintako,넓어진다고,,,lp-v,lpv,0,0,,,0,lC+Vowel,3,nʌlp-ʌcintako,lp-ʌ,lpʌ
nvlp-vcintanxn,넓어진다는,,,lp-v,lpv,0,0,,,0,lC+Vowel,2,nʌlp-ʌcintanɨn,lp-ʌ,lpʌ
nvlp-vcyvSnxnte,넓어졌는데,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌcjʌs*nɨnte,lp-ʌ,lpʌ
nvlp-vcyvSta,넓어졌다,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌcjʌs*ta,lp-ʌ,lpʌ
nvlp-vcyvStako,넓어졌다고,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌcjʌs*tako,lp-ʌ,lpʌ
nvlp-vcyvSvyo,넓어졌어요,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌcjʌs*ʌjo,lp-ʌ,lpʌ
nvlp-vcyvSxmyvn,넓어졌으면,,,lp-v,lpv,0,0,,,0,lC+Vowel,2,nʌlp-ʌcjʌs*ɨmjʌn,lp-ʌ,lpʌ
nvlp-vkaciko,넓어가지고,,,lp-v,lpv,0,0,,,0,lC+Vowel,9,nʌlp-ʌkaciko,lp-ʌ,lpʌ
nvlp-vsv,넓어서,,,lp-v,lpv,0,0,,,0,lC+Vowel,14,nʌlp-ʌsʌ,lp-ʌ,lpʌ
nvlp-vya,넓어야,,,lp-v,lpv,0,0,,,0,lC+Vowel,4,nʌlp-ʌja,lp-ʌ,lpʌ
nvlp-vyaci,넓어야지,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌjaci,lp-ʌ,lpʌ
nvlp-vyo,넓어요,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌjo,lp-ʌ,lpʌ
nvlp-vSci,넓었지,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌs*ci,lp-ʌ,lpʌ
nvlp-vSko,넓었고,,,lp-v,lpv,0,0,,,0,lC+Vowel,2,nʌlp-ʌs*ko,lp-ʌ,lpʌ
nvlp-vSnxnte,넓었는데,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌs*nɨnte,lp-ʌ,lpʌ
nvlp-vSv,넓었어,,,lp-v,lpv,0,0,,,0,lC+Vowel,2,nʌlp-ʌs*ʌ,lp-ʌ,lpʌ
nvlp-vSvsv,넓었어서,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌs*ʌsʌ,lp-ʌ,lpʌ
nvlp-vSxmyvn,넓었으면,,,lp-v,lpv,0,0,,,0,lC+Vowel,1,nʌlp-ʌs*ɨmjʌn,lp-ʌ,lpʌ
nvlp-xmyvn,넓으면,,,lp-x,lpx,0,0,,,0,lC+Vowel,1,nʌlp-ɨmjʌn,lp-ɨ,lpɨ
nvlp-xniga,넓으니까,,,lp-x,lpx,0,0,,,0,lC+Vowel,2,nʌlp-ɨnik*a,lp-ɨ,lpɨ
nvlp-xnigan,넓으니깐,,,lp-x,lpx,0,0,,,0,lC+Vowel,1,nʌlp-ɨnik*an,lp-ɨ,lpɨ
nvlp-xl,넓을,,,lp-x,lpx,0,0,,,0,lC+Vowel,1,nʌlp-ɨl,lp-ɨ,lpɨ
nvlp-xmi,넓음이,,,lp-x,lpx,0,0,,,0,lC+Vowel,1,nʌlp-ɨmi,lp-ɨ,lpɨ
nvlp-xn,넓은,,,lp-x,lpx,0,0,,,0,lC+Vowel,90,nʌlp-ɨn,lp-ɨ,lpɨ
nvlp-xnte,넓은데,,,lp-x,lpx,0,0,,,0,lC+Vowel,9,nʌlp-ɨnte,lp-ɨ,lpɨ
nvlp-xnteto,넓은데도,,,lp-x,lpx,0,0,,,0,lC+Vowel,1,nʌlp-ɨnteto,lp-ɨ,lpɨ
nxlk-v,늙어,,,lk-v,lkv,0,0,,,0,lC+Vowel,7,nɨlk-ʌ,lk-ʌ,lkʌ
nxlk-vci,늙어지,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,nɨlk-ʌci,lk-ʌ,lkʌ
nxlk-vkacanhayo,늙어가잖아요,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,nɨlk-ʌkacanhajo,lk-ʌ,lkʌ
nxlk-vkaciko,늙어가지고,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,nɨlk-ʌkaciko,lk-ʌ,lkʌ
nxlk-vkako,늙어가고,,,lk-v,lkv,0,0,,,0,lC+Vowel,7,nɨlk-ʌkako,lk-ʌ,lkʌ
nxlk-vkamyvnsv,늙어가면서,,,lk-v,lkv,0,0,,,0,lC+Vowel,6,nɨlk-ʌkamjʌnsʌ,lk-ʌ,lkʌ
nxlk-vkaniga,늙어가니까,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,nɨlk-ʌkanik*a,lk-ʌ,lkʌ
nxlk-vkanxn,늙어가는,,,lk-v,lkv,0,0,,,0,lC+Vowel,5,nɨlk-ʌkanɨn,lk-ʌ,lkʌ
nxlk-vkanxnkuna,늙어가는구나,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,nɨlk-ʌkanɨnkuna,lk-ʌ,lkʌ
nxlk-vkanxnkunalanxn,늙어가는구나라는,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,nɨlk-ʌkanɨnkunalanɨn,lk-ʌ,lkʌ
nxlk-vkasiko,늙어가시고,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,nɨlk-ʌkasiko,lk-ʌ,lkʌ
nxlk-vkata,늙어가다,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,nɨlk-ʌkata,lk-ʌ,lkʌ
nxlk-vkacko,늙어갖고,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,nɨlk-ʌkacko,lk-ʌ,lkʌ
nxlk-vkalgapwa,늙어갈까봐,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,nɨlk-ʌkalk*apwa,lk-ʌ,lkʌ
nxlk-vkantanxn,늙어간다는,,,lk-v,lkv,0,0,,,0,lC+Vowel,2,nɨlk-ʌkantanɨn,lk-ʌ,lkʌ
nxlk-vpvlimyvnxn,늙어버리면은,,,lk-v,lkv,0,0,,,0,lC+Vowel,1,nɨlk-ʌpʌlimjʌnɨn,lk-ʌ,lkʌ
nxlk-vsv,늙어서,,,lk-v,lkv,0,0,,,0,lC+Vowel,23,nɨlk-ʌsʌ,lk-ʌ,lkʌ
